BCCefflatcnt_composition_average,NValance_composition_average,IonicRadii_composition_average,Number_composition_average,AtomicWeight_composition_average,AtomicNumber_composition_average,HeatCapacityMolar_composition_average,BCCvolume_pa_composition_average,n_ws^third_composition_average,AtomicWeight_max_value,Number_max_value,AtomicNumber_max_value,AtomicVolume_composition_average,AtomicWeight_arithmetic_average,GSvolume_pa_composition_average,ICSDVolume_composition_average,BCCvolume_pa_arithmetic_average,CovalentRadius_difference,NdValence_arithmetic_average,BCCfermi_composition_average,NdValence_max_value,BCCfermi_arithmetic_average,AtomicVolume_difference,BCCvolume_pa_max_value,NUnfilled_min_value
6.271860131166668,4.333333333333334,0.7849999999999999,26.0,57.78148620000001,26.0,25.220666666666666,15.893333333333334,1.5583333333333331,92.90638,41.0,41.0,3113.282369099129,44.63153953333334,17.04479166666667,18.35,14.026666666666667,93.0,1.3333333333333333,6.084765056666668,4.0,6.31362426,18575.90454210129,18.18,3.0
6.392091896375001,22.875,0.64625,74.625,185.9185,74.625,25.78125,16.5725,1.715,195.084,78.0,78.0,17.21433349886606,158.422,17.0875,16.9875,21.08,3.0,9.5,7.80372552625,10.0,8.054626795,14.8309599370549,27.09,2.0
7.1322016355,12.5,1.075,57.5,137.5636,57.5,26.735,23.44,1.295,167.25900000000001,68.0,68.0,23.8558581584521,137.5636,23.4575,23.8,23.44,44.0,5.0,3.606469975,10.0,3.606469975,13.5604204171226,30.68,1.0
6.284283797285714,8.0,1.2557142857142856,22.0,50.19337142857143,22.0,27.724285714285717,18.697142857142858,0.4242857142857143,207.2,82.0,82.0,10640.714923367896,87.75913333333332,20.01,26.814285714285717,24.02333333333333,110.0,3.333333333333333,3.7697834971428565,10.0,4.757486803333333,18561.855743476666,36.82,2.0
7.817099196428572,5.7142857142857135,1.5571428571428572,21.714285714285715,46.63265714285715,21.714285714285715,31.568,34.404285714285706,0.4242857142857143,106.42,46.0,46.0,10490.91746655593,60.32376666666667,36.944761904771426,40.27142857142857,35.70333333333333,101.0,3.333333333333333,1.9899552171428567,10.0,2.4485413200000004,18302.80865129564,72.1,0.0
6.4321330880000005,5.666666666666666,0.5433333333333332,33.0,74.42258733333333,33.0,24.414666666666665,16.939999999999998,1.63,101.07,44.0,44.0,21.6826464983776,74.42258733333333,19.7584126984,18.7,16.939999999999998,68.0,3.0,7.68540203,7.0,7.68540203,14.646247407341098,22.75,3.0
6.765035282666668,6.0,0.6866666666666666,16.0,35.3892,16.0,24.78966666666667,19.466666666666665,1.1966666666666663,74.9216,33.0,33.0,22.163438970893324,35.3892,20.552777777766664,22.16666666666667,19.466666666666665,22.0,3.333333333333333,3.59610317,10.0,3.59610317,1.678235015751401,22.88,0.0
6.727094769666666,14.000000000000002,0.77,50.0,119.304523,50.0,25.60266666666667,19.14,1.43,196.966569,79.0,79.0,19.941173456251462,119.304523,19.584166666666665,19.9,19.14,53.0,7.333333333333334,4.727554506666666,10.0,4.727554506666666,6.318879652711001,22.75,1.0
6.77603081325,9.0,0.7575000000000001,36.5,84.870625,36.5,25.83,19.8275,1.27,114.818,49.0,49.0,21.85872105285005,74.88816666666669,19.688333333325,21.325000000000006,18.293333333333333,14.0,6.0,6.098142062499999,10.0,5.33143354,12.357148349641198,24.43,1.0
6.84676606395,14.0,0.6205,39.2,91.6711,39.2,24.00365,20.682,1.3930000000000002,192.217,77.0,77.0,23.99992283762637,101.645,23.46075,23.805,23.42333333333333,56.0,5.666666666666668,5.2093381454999985,10.0,5.63848362,28.7886368338589,36.82,3.0
7.14408019625,2.75,0.635,18.25,39.8504375,18.25,23.4395,24.8675,1.24875,137.327,56.0,56.0,27.23844840088005,63.23916666666666,27.058750000000003,27.05,33.69333333333333,104.0,0.0,5.96108829125,0.0,5.2001702566666665,44.9529039580824,63.59,4.0
6.2553030322500005,5.75,0.485,35.25,79.7134405,35.25,24.001,15.3075,1.7400000000000002,95.96,42.0,42.0,18.679190970012023,63.46688100000001,17.4100595238,16.35,14.925,47.0,2.5,8.9947171875,5.0,9.352436515,12.713241128838902,15.69,3.0
6.589327093333332,6.0,0.7899999999999999,36.0,80.38046666666666,36.0,25.596666666666664,18.61,1.5233333333333334,91.22399999999999,40.0,40.0,19.157723660029365,74.9587,18.90333333333333,19.066666666666666,16.54,51.0,5.0,4.517297936666667,8.0,4.66192158,12.3246588274864,22.75,2.0
